Genotype,Exp,Loc,Yield,Pro,Oil,Mat
FC3051,23-C-302,Crawfordsville,94.55,34.3,20.4,3.1
FC3051,23-C-302,Lucas,77.65,34.95,20.9,2.7
NC2085,23-C-302,Ames02,71.42,,,
NC2085,23-C-302,RockPort,72.44,,,
NC2085,23-C-302,Lucas,74.65,35.45,20.9,2.9
NC2085,23-C-302,Urbana,51.34,,,
NC2085,23-C-302,Crawfordsville,88.4,35.5,20.25,2.9
NC2085,23-C-302,Ames01,76.26,36.25,20,3.3
NC6509,23-C-302,Ames02,63.26,,,
NC6509,23-C-302,Crawfordsville,78.13,33.75,20.15,2.9
NC6509,23-C-302,Ames01,80.81,34.85,19.8,2.7
NC6509,23-C-302,Lucas,66.42,34.55,20.7,2.9
NC6509,23-C-302,RockPort,64.77,,,
NC6509,23-C-302,Urbana,48.81,,,
CE7971,23-C-302,Ames02,62.03,,,
CE7971,23-C-302,Lucas,76.31,35.4,20.7,2.9
CE7971,23-C-302,Urbana,50.61,,,
CE7971,23-C-302,RockPort,77.62,,,
CE7971,23-C-302,Crawfordsville,87.98,,,3.1
CE7971,23-C-302,Ames01,75.75,35.9,19.5,3.1
MP1645,23-C-302,Crawfordsville,88.56,34.15,20.15,2.9
MP1645,23-C-302,Urbana,47,,,
MP1645,23-C-302,Ames02,61.02,,,
MP1645,23-C-302,Lucas,80.76,35.55,20.2,2.7
MP1645,23-C-302,RockPort,74.65,,,
MP1645,23-C-302,Ames01,74.15,34.95,20.05,2.7
EX6125,23-C-302,Lucas,70.67,35.75,20.1,3.3
EX6125,23-C-302,Ames02,66.73,,,
EX6125,23-C-302,Ames01,64.66,35.3,19.55,2.9
EX6125,23-C-302,Urbana,51.38,,,
EX6125,23-C-302,Crawfordsville,88.37,33.75,20.2,3.1
EX6125,23-C-302,RockPort,75.14,,,
AB0294,23-C-302,Ames02,70.77,,,
AB0294,23-C-302,RockPort,71.66,,,
AB0294,23-C-302,Crawfordsville,98.97,35.75,19.5,3.3
AB0294,23-C-302,Urbana,50.12,,,
AB0294,23-C-302,Ames01,79.57,36.5,19.15,3.5
AB0294,23-C-302,Lucas,74.33,37.1,19.6,2.9
YT0782,23-C-302,Urbana,55.81,,,
YT0782,23-C-302,Lucas,72.91,35.35,20.3,3.1
YT0782,23-C-302,Ames01,79.12,34.65,20.3,3.3
YT0782,23-C-302,Crawfordsville,90.94,33.9,20.3,3.1
YT0782,23-C-302,Ames02,62.94,,,
YT0782,23-C-302,RockPort,69.29,,,
NN5202,23-C-302,Urbana,64.25,,,
NN5202,23-C-302,Ames01,71.88,35.15,19.6,3.9
NN5202,23-C-302,Lucas,75.63,35.2,19.8,3.7
NN5202,23-C-302,Crawfordsville,81.22,,,3.5
NN5202,23-C-302,Ames02,60.17,,,
NN5202,23-C-302,RockPort,77.14,,,
NG8029,23-C-302,Urbana,58,,,
NG8029,23-C-302,Ames01,75.54,35.45,20.05,3.1
NG8029,23-C-302,Ames02,69.59,,,
NG8029,23-C-302,RockPort,78.33,,,
NG8029,23-C-302,Lucas,76.27,35.15,20.3,3.1
NG8029,23-C-302,Crawfordsville,89.15,34.4,20.35,3.3
NU6597,23-C-302,Lucas,76.12,35.75,19.8,3.7
NU6597,23-C-302,Ames01,78.6,36,19.4,3.5
NU6597,23-C-302,Crawfordsville,97.21,34.4,19.8,3.5
NU6597,23-C-302,Urbana,54.91,,,
NU6597,23-C-302,Ames02,75.4,,,
NU6597,23-C-302,RockPort,79.15,,,
FT2794,23-C-302,Lucas,83.41,34.95,20.25,3.1
FT2794,23-C-302,Urbana,57.83,,,
FT2794,23-C-302,RockPort,78.3,,,
FT2794,23-C-302,Crawfordsville,84.28,34.25,20.15,3.3
FT2794,23-C-302,Ames01,86.02,35.55,19.85,3.7
FT2794,23-C-302,Ames02,78.82,,,
RA9083,23-C-302,Urbana,54.93,,,
RA9083,23-C-302,Lucas,68.75,35.05,20.45,3.3
RA9083,23-C-302,RockPort,67.41,,,
RA9083,23-C-302,Ames01,72.01,35.55,19.7,3.1
RA9083,23-C-302,Ames02,69.2,,,
RA9083,23-C-302,Crawfordsville,82.85,34.7,20.05,3.1
SW0134,23-C-302,Lucas,78,34.35,21,2.7
SW0134,23-C-302,Ames01,72.74,34.9,20,3.3
SW0134,23-C-302,RockPort,73.72,,,
SW0134,23-C-302,Urbana,52.03,,,
SW0134,23-C-302,Ames02,67.33,,,
SW0134,23-C-302,Crawfordsville,85.99,33.9,20.1,3.1
AJ4484,23-C-302,Ames01,67.17,35.85,19.4,3.7
AJ4484,23-C-302,Urbana,55.75,,,
AJ4484,23-C-302,Crawfordsville,88.56,34.25,19.9,3.3
AJ4484,23-C-302,Ames02,64.9,,,
AJ4484,23-C-302,Lucas,75.66,35.2,20.3,2.9
AJ4484,23-C-302,RockPort,69.91,,,
NR7646,23-C-302,Ames01,84.11,35.05,19.5,2.9
NR7646,23-C-302,Lucas,78.41,34.7,20.1,3.5
NR7646,23-C-302,Ames02,67.51,,,
NR7646,23-C-302,Urbana,56.95,,,
NR7646,23-C-302,RockPort,70.01,,,
NR7646,23-C-302,Crawfordsville,90.12,33.4,20.15,3.1
OP7594,23-C-302,Urbana,59.17,,,
OP7594,23-C-302,Ames01,83.46,34.2,20.3,3.1
OP7594,23-C-302,Lucas,75.62,33.95,20.55,2.9
OP7594,23-C-302,Ames02,70.65,,,
OP7594,23-C-302,RockPort,72.68,,,
OP7594,23-C-302,Crawfordsville,91.29,33.4,20.7,3.1
XD8348,23-C-302,Urbana,61.84,,,
XD8348,23-C-302,Lucas,79.18,34.65,20.65,2.7
XD8348,23-C-302,Ames02,70.85,,,
XD8348,23-C-302,RockPort,73.28,,,
XD8348,23-C-302,Ames01,79.39,34.65,20.25,2.7
XD8348,23-C-302,Crawfordsville,89.58,33.8,20.35,3.3
DM1011,23-C-302,Urbana,55.91,,,
DM1011,23-C-302,Crawfordsville,90.71,34.05,21.25,2.5
DM1011,23-C-302,Ames01,78.13,35.55,20.1,2.7
DM1011,23-C-302,RockPort,73.9,,,
DM1011,23-C-302,Lucas,68.24,35.2,21.1,2.5
DM1011,23-C-302,Ames02,69.92,,,
OS2889,23-C-302,Lucas,81.39,33.95,20.7,2.9
OS2889,23-C-302,RockPort,79.99,,,
OS2889,23-C-302,Crawfordsville,100.54,33.6,20.25,3.1
OS2889,23-C-302,Urbana,52.55,,,
OS2889,23-C-302,Ames01,81.63,33.75,20.55,3.5
OS2889,23-C-302,Ames02,75.7,,,
VS9288,23-C-302,Urbana,50.44,,,
VS9288,23-C-302,Ames01,75.23,33.75,20.6,2.7
VS9288,23-C-302,RockPort,69.99,,,
VS9288,23-C-302,Crawfordsville,82.78,33.35,20.45,3.5
VS9288,23-C-302,Ames02,68.4,,,
VS9288,23-C-302,Lucas,74.39,33.85,21,2.7
QM5428,23-C-302,Urbana,63.67,,,
QM5428,23-C-302,RockPort,79.15,,,
QM5428,23-C-302,Lucas,87.17,35.95,19.3,3.5
QM5428,23-C-302,Crawfordsville,88.19,36.05,18.95,3.5
QM5428,23-C-302,Ames02,69.3,,,
QM5428,23-C-302,Ames01,68.87,36.1,19.2,3.5
SW5788,23-C-302,Lucas,66.59,36.55,19.45,3.7
SW5788,23-C-302,Ames02,75.71,,,
SW5788,23-C-302,RockPort,73.7,,,
SW5788,23-C-302,Ames01,78.36,36.55,19,3.7
SW5788,23-C-302,Urbana,61.14,,,
SW5788,23-C-302,Crawfordsville,95.83,36,19.1,3.5
VJ0651,23-C-302,Lucas,80.73,35.2,19.4,3.3
VJ0651,23-C-302,Crawfordsville,77.82,34.5,18.85,3.7
VJ0651,23-C-302,RockPort,85.39,,,
VJ0651,23-C-302,Ames02,70.85,,,
VJ0651,23-C-302,Urbana,58.71,,,
VJ0651,23-C-302,Ames01,73.93,34.85,19.15,
TS3305,23-C-302,Lucas,65.4,35.3,20.15,2.9
TS3305,23-C-302,Ames01,69.78,35.4,20.1,3.3
TS3305,23-C-302,Crawfordsville,103.36,34.7,19.65,3.1
TS3305,23-C-302,Ames02,63.6,,,
TS3305,23-C-302,RockPort,71.45,,,
TS3305,23-C-302,Urbana,58.33,,,
KD4346,23-C-302,Crawfordsville,98.98,33.65,20.6,
KD4346,23-C-302,Ames01,78.59,35.05,20.5,3.1
KD4346,23-C-302,RockPort,84.24,,,
KD4346,23-C-302,Urbana,52.15,,,
KD4346,23-C-302,Lucas,84.38,35.75,19.95,3.1
KD4346,23-C-302,Ames02,73.51,,,
